otu,Domain,Phylum,Class,Order,Family,Genus,Species
KR476719.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Neoplatysporoides,s__Neoplatysporoides_aloicola
MH856603.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Pholiota,s__Pholiota_conissans
OK057186.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_demetris
JX310421.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Gomphales,f__Gomphaceae,g__Ramaria,s__Ramaria_araiospora
MK795226.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_byssoides
MW883437.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__Paraphoma_salicis
LC373105.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Longiostiolaceae,g__Crassiperidium,s__Crassiperidium_octosporum
DQ665668.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Plasmopara,s__Plasmopara_viticola
MF954861.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Galerina,s__Galerina_triscopa
OL685207.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Suillaceae,g__Suillus,s__Suillus_placidus
MK484036.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Auriculariales,f__Hyaloriaceae,g__Protomerulius,s__Protomerulius_brachysporus
KU866258.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Antrodia,s__Antrodia_tuvensis
MZ484562.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Porodaedalea,s__Porodaedalea_mongolica
KJ728759.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Entylomatales,f__Entylomataceae,g__Entyloma,s__Entyloma_cosmi
MH854831.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Dermateaceae,g__Marssonina,s__Marssonina_panattoniana
